"6577"|"Treasure Grove Antiques"|"1"
"2896"|"NASHVILLE, TN"|"1"
"6879"|"DANVILLE, ILLINOIS"|"1"
"3333"|"Union NJ"|"1"
"826"|"Nampa"|"1"
"995"|"Wonderful Sunny North Texas"|"1"
"3046"|"Levittown,PA"|"1"
"801"|"Vernon Hills, Illinois USA"|"1"
"2974"|"Happ Holidays!!"|"1"
"2035"|"Bargain City"|"1"
"4146"|"san juan islands"|"1"
"8804"|"land of the free"|"1"
"6695"|"PLEASE CHECK OUT MY OTHER AUCTIONS THANK YOU"|"1"
"2589"|"OPAR"|"1"
"1024"|"Western"|"6"
"6774"|"Monmouth County"|"1"
"7445"|"Youngsville, NC"|"1"
"3629"|"San Diego,Ca."|"1"
"2089"|"New Jersey, The Redline State!"|"1"
"5822"|"Florence,OR"|"1"
"5788"|"Scottsburg, Indiana"|"1"
"2772"|"Sandy, UT"|"1"
"8310"|"Cloverdale, Ohio"|"1"
"3514"|"Down South, Y'all!"|"1"
"6147"|"Southern Oregon"|"1"
"6266"|"Torrington"|"1"
"1842"|"NOTTS"|"2"
"2349"|"Maine Coast"|"1"
"5904"|"melrose, ma"|"1"
"3513"|"Libby, MT"|"1"
"8260"|"Please see my other name brand auctions!!!"|"1"
"2963"|"Tri-State Area"|"1"
"6066"|"ALLEN TX"|"1"
"5382"|"!!!BILLPOINT / PAYPAL ONLY!!!"|"6"
"2129"|"Atherton, North Queensland"|"7"
"2980"|"Sandy"|"1"
"3218"|"Clover, SC"|"1"
"5850"|"Designer Brands from SUNNY CALIFORNIA"|"1"
"7125"|"You Got A Friend In Pennsylvania"|"1"
"8460"|"Barker, NY"|"1"
"2610"|"Gardendale, AL"|"1"
"8839"|"Sanford, FL"|"1"
"1597"|"100% Money Back Guarantee!!!"|"1"
"3607"|"Mendon, NY"|"1"
"7715"|"LAND OF OZ KANSAS"|"1"
"2344"|"South Bend IN"|"1"
"7648"|"48 States Only Please"|"1"
"6189"|"Winterport, ME"|"1"
"7540"|"UNITED WE STAND"|"1"
"8781"|"Casselberry , Fl"|"1"
"2222"|"MD-DC-VA"|"1"
"4337"|"Sanford, Fl"|"1"
"5371"|"Hamilton"|"6"
"2024"|"Ottawa, Ontario"|"6"
"8957"|"Rose Hill,KS"|"1"
"1386"|"Azle, Texas"|"1"
"8816"|"ELMIRA, NY"|"1"
"2392"|"High Hill, Missouri"|"1"
"3210"|"FRASER MI"|"1"
"4298"|"the morestuff gallery"|"1"
"726"|"Sydney,NSW"|"7"
"2726"|"WYOMING"|"1"
"1098"|"Northern Virginia"|"1"
"2360"|"Stuttgart"|"3"
"7958"|"SNOWY IDAHO"|"1"
"6671"|"Up North"|"1"
"2511"|"Clarkston, Michigan"|"1"
"5334"|"**Happy Holidays**"|"1"
"70"|"NW WI"|"1"
"4432"|"Beautiful Midwest"|"1"
"8152"|"JUDY'S ANTIQUES-Aberdeen, WA"|"1"
"4821"|"near Austin, TX"|"1"
"4397"|"Deep In The Heart of Texas"|"1"
"3438"|"south point, Ohio"|"1"
"1090"|"The Beautiful Willamette Valley"|"1"
"6324"|"THERE'S MORE!"|"1"
"4067"|"bay area, ca"|"1"
"6790"|"NE IOWA"|"1"
"3293"|"Please see our other auctions"|"1"
"8883"|"NC *** PAYPAL ***"|"1"
"4003"|"mililani"|"1"
"135"|"COLTON"|"1"
"3746"|"NINA'S BRIDAL & FORMALWEAR"|"1"
"3213"|"pls vrds pnsl, CA"|"1"
"3331"|"North Ridgeville, Ohio"|"1"
"2458"|"Indiana, PA"|"1"
"5733"|"HOOSIER COUNTRY, USA"|"1"
"8948"|"Queen City"|"1"
"4189"|"UpState New York"|"1"
"234"|"Southern NJ"|"1"
"8783"|"Akron, PA"|"1"
"5095"|"Christina"|"1"
"1070"|"Cookeville, Tennessee 38501"|"1"
"7889"|"Deutschland"|"3"
"3070"|"Snowy Northern Idaho"|"1"
"8082"|"North GA"|"1"
"646"|"Power Seller in Maine"|"1"
"6199"|"Checotah Oklahoma"|"1"
"7141"|"Statesboro"|"1"
"8740"|"MONTREAL QUEBEC"|"6"
"968"|"bklyn"|"1"
"1143"|"Hartford, CT"|"1"
"3998"|"Lakewood, CA"|"1"
"3277"|"God Bless America!"|"1"
"4791"|"Houston,TX"|"1"
"8865"|"DRACUT"|"1"
"564"|"MAINE"|"1"
"6478"|"Anderson, CA"|"1"
"1336"|"Space City Texas"|"1"
"8194"|"****NW IOWA**"|"1"
"6705"|"SAV,GA"|"1"
"8413"|"Scottdale,Pa.15683"|"1"
"7262"|"YOUR SOURCE FOR VS APPAREL"|"1"
"4692"|"Battle Creek, Mi"|"1"
"7336"|"Check Here for Great Holiday Gifts!"|"1"
"3183"|"Bay City"|"1"
"5920"|"I ship upon payment confirmation!"|"1"
"513"|"Eagle"|"1"
"5799"|"Pensacola, Florida"|"1"
"7493"|"Burlingame, CA"|"1"
"3608"|"Ozarks"|"1"
"700"|"LA"|"1"
"392"|"Hampton Falls, NH"|"1"
"6419"|"THE GREAT STATE OF TEXAS"|"1"
"3192"|"LI"|"1"
"8318"|"Battle Creek, MI"|"1"
"7318"|"Alsace"|"8"
"7351"|"Southeastern Pennsylvania"|"1"
"8069"|"Portland Oregon"|"1"
"2003"|"MY HOME IN CALIFORNIA :))"|"1"
"2051"|"Cherryvale, Kansas"|"1"
